DATASET_BINARY
#Binary datasets are visualized as filled or empty symbols, depending on the value associated with a node (0 or 1).
#Each node can have multiple associated values, and each value will be represented by a symbol (defined in FIELD_SHAPES) with corresponding color and label (from FIELD_COLORS and FIELD_LABELS).
#Possible values (defined under DATA below) for each node are 1 (filled shapes), 0 (empty shapes) and -1 (completely omitted).

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file.
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,label1
Aplysina.bin.54.fa.metabat2,1
Aplysina.bin.55.fa.metabat2,1
Aplysina.bin.56.fa.metabat2,1
Aplysina.bin.57.fa.metabat2,1
Aplysina.bin.58.fa.metabat2,1
Aplysina.bin.5.fa.metabat2,1
Aplysina.bin.60.fa.metabat2,1
Aplysina.bin.70.fa.metabat2,1
Aplysina.bin.72.fa.metabat2,1
Aplysina.bin.74.fa.metabat2,1
Aplysina.bin.78.fa.metabat2,1
Aplysina.bin.7.fa.metabat2,1
Aplysina.bin.80.fa.metabat2,1
Aplysina.bin.87.fa.metabat2,1
Aplysina.bin.89.fa.metabat2,1
Aplysina.bin.8.fa.maxbin2,1
Aplysina.bin.8.fa.metabat2,1
Aplysina.bin.90.fa.metabat2,1
Aplysina.bin.97.fa.metabat2,1
Aplysina.bin.98.fa.metabat2,1
Aplysina.bin.99.fa.metabat2,1
Aplysina.bin.9.fa.metabat2,1
Aplysina.cluster.DBSCAN.round1.2,1
Aplysina.cluster.DBSCAN.round3504.0,1
Aplysina.cluster.DBSCAN.round3758.6,1
Aplysina.cluster.DBSCAN.round3758.93,1
Aplysina.cluster.DBSCAN.round3759.844,1
Aplysina.cluster.DBSCAN.round4.12,1
Aplysina.cluster.DBSCAN.round4.15,1
Aplysina.cluster.DBSCAN.round4.18,1
Aplysina.cluster.DBSCAN.round4.30,1
Aplysina.cluster.DBSCAN.round4.32,1
Aplysina.cluster.DBSCAN.round4.36,1
Aplysina.cluster.DBSCAN.round4.3,1
Aplysina.cluster.DBSCAN.round4.49,1
Aplysina.cluster.DBSCAN.round4.52,1
Aplysina.cluster.DBSCAN.round72.0,1
CS200.bin.103.fa.metabat2,1
CS200.bin.105.fa.metabat2,1
CS200.bin.107.fa.metabat2,1
CS200.bin.12.fa.maxbin2,1
CS200.bin.15.fa.maxbin2,1
CS200.bin.15.fa.metabat2,1
CS200.bin.17.fa.metabat2,1
CS200.bin.18.fa.maxbin2,1
CS200.bin.19.fa.maxbin2,1
CS200.bin.19.fa.metabat2,1
CS200.bin.20.fa.metabat2,1
CS200.bin.21.fa.metabat2,1
CS200.bin.24.fa.maxbin2,1
CS200.bin.24.fa.metabat2,1
CS200.bin.28.fa.metabat2,1
CS200.bin.29.fa.metabat2,1
CS200.bin.31.fa.metabat2,1
CS200.bin.32.fa.metabat2,1
CS200.bin.34.fa.metabat2,1
CS200.bin.36.fa.metabat2,1
CS200.bin.37.fa.maxbin2,1
CS200.bin.44.fa.maxbin2,1
CS200.bin.44.fa.metabat2,1
CS200.bin.49.fa.maxbin2,1
CS200.bin.4.fa.metabat2,1
CS200.bin.51.fa.maxbin2,1
CS200.bin.51.fa.metabat2,1
CS200.bin.53.fa.metabat2,1
CS200.bin.54.fa.metabat2,1
CS200.bin.55.fa.metabat2,1
CS200.bin.59.fa.metabat2,1
CS200.bin.5.fa.metabat2,1
CS200.bin.69.fa.metabat2,1
CS200.bin.70.fa.metabat2,1
CS200.bin.72.fa.metabat2,1
CS200.bin.73.fa.metabat2,1
CS200.bin.85.fa.metabat2,1
CS200.bin.86.fa.metabat2,1
CS200.bin.8.fa.maxbin2,1
CS200.bin.8.fa.metabat2,1
CS200.bin.93.fa.metabat2,1
CS200.bin.97.fa.metabat2,1
CS200.bin.98.fa.metabat2,1
CS200.cluster.DBSCAN.round104.2,1
CS200.cluster.DBSCAN.round1696.12,1
CS200.cluster.DBSCAN.round2.2,1
CS200.cluster.DBSCAN.round3.2,1
CS200.cluster.DBSCAN.round3773.138,1
CS200.cluster.DBSCAN.round3774.23,1
CS200.cluster.DBSCAN.round3775.2397,1
CS200.cluster.DBSCAN.round3777.6,1
CS200.cluster.DBSCAN.round3777.7,1
CS200.cluster.DBSCAN.round41.0,1
CS200.cluster.DBSCAN.round4.16,1
CS200.cluster.DBSCAN.round4.32,1
CS200.cluster.DBSCAN.round4.36,1
CS200.cluster.DBSCAN.round66.29,1
CS202.bin.12.fa.metabat2,1
CS202.bin.13.fa.maxbin2,1
CS202.bin.13.fa.metabat2,1
CS202.bin.16.fa.metabat2,1
CS202.bin.17.fa.maxbin2,1
CS202.bin.1.fa.metabat2,1
CS202.bin.20.fa.metabat2,1
CS202.bin.21.fa.metabat2,1
CS202.bin.26.fa.metabat2,1
CS202.bin.28.fa.metabat2,1
CS202.bin.2.fa.metabat2,1
CS202.bin.31.fa.maxbin2,1
CS202.bin.35.fa.metabat2,1
CS202.bin.36.fa.metabat2,1
CS202.bin.38.fa.metabat2,1
CS202.bin.40.fa.metabat2,1
CS202.bin.41.fa.metabat2,1
CS202.bin.43.fa.metabat2,1
CS202.bin.46.fa.maxbin2,1
CS202.bin.48.fa.metabat2,1
CS202.bin.50.fa.maxbin2,1
CS202.bin.51.fa.metabat2,1
CS202.bin.55.fa.metabat2,1
CS202.bin.56.fa.metabat2,1
CS202.bin.59.fa.metabat2,1
CS202.bin.5.fa.maxbin2,1
CS202.bin.63.fa.metabat2,1
CS202.bin.68.fa.metabat2,1
CS202.bin.6.fa.metabat2,1
CS202.bin.71.fa.metabat2,1
CS202.bin.75.fa.metabat2,1
CS202.bin.76.fa.metabat2,1
CS202.bin.77.fa.metabat2,1
CS202.bin.78.fa.metabat2,1
CS202.bin.7.fa.metabat2,1
CS202.bin.84.fa.metabat2,1
CS202.bin.90.fa.maxbin2,1
CS202.bin.9.fa.metabat2,1
CS202.cluster.DBSCAN.round1.1,1
CS202.cluster.DBSCAN.round2.3,1
CS202.cluster.DBSCAN.round2.6,1
CS202.cluster.DBSCAN.round3553.10,1
CS202.cluster.DBSCAN.round4.10,1
CS202.cluster.DBSCAN.round4.11,1
CS202.cluster.DBSCAN.round4.4,1
CS202.cluster.DBSCAN.round5.15,1
CS202.cluster.DBSCAN.round5.26,1
CS202.cluster.DBSCAN.round57.1,1
CS202.cluster.DBSCAN.round5.8,1
CS202.cluster.DBSCAN.round70.10,1
CS203.bin.107.fa.metabat2,1
CS203.bin.10.fa.maxbin2,1
CS203.bin.10.fa.metabat2,1
CS203.bin.110.fa.metabat2,1
CS203.bin.113.fa.metabat2,1
CS203.bin.121.fa.metabat2,1
CS203.bin.16.fa.maxbin2,1
CS203.bin.1.fa.metabat2,1
CS203.bin.2.fa.maxbin2,1
CS203.bin.30.fa.maxbin2,1
CS203.bin.37.fa.metabat2,1
CS203.bin.3.fa.metabat2,1
CS203.bin.44.fa.metabat2,1
CS203.bin.51.fa.metabat2,1
CS203.bin.58.fa.metabat2,1
CS203.bin.62.fa.metabat2,1
CS203.bin.66.fa.maxbin2,1
CS203.bin.68.fa.metabat2,1
CS203.bin.6.fa.metabat2,1
CS203.bin.71.fa.metabat2,1
CS203.bin.72.fa.metabat2,1
CS203.bin.73.fa.metabat2,1
CS203.bin.7.fa.maxbin2,1
CS203.bin.83.fa.maxbin2,1
CS203.bin.83.fa.metabat2,1
CS203.bin.84.fa.metabat2,1
CS203.bin.85.fa.metabat2,1
CS203.bin.86.fa.metabat2,1
CS203.bin.88.fa.metabat2,1
CS203.bin.90.fa.metabat2,1
CS203.bin.91.fa.metabat2,1
CS203.bin.95.fa.metabat2,1
CS203.bin.9.fa.metabat2,1
CS203.cluster.DBSCAN.round1.2,1
CS203.cluster.DBSCAN.round2.1,1
CS203.cluster.DBSCAN.round3.10,1
CS203.cluster.DBSCAN.round3.3,1
CS203.cluster.DBSCAN.round4420.54,1
CS203.cluster.DBSCAN.round5.10,1
CS203.cluster.DBSCAN.round5.9,1
CS204.bin.102.fa.metabat2,1
CS204.bin.103.fa.metabat2,1
CS204.bin.11.fa.metabat2,1
CS204.bin.14.fa.metabat2,1
CS204.bin.21.fa.maxbin2,1
CS204.bin.25.fa.metabat2,1
CS204.bin.27.fa.metabat2,1
CS204.bin.33.fa.metabat2,1
CS204.bin.38.fa.metabat2,1
CS204.bin.39.fa.metabat2,1
CS204.bin.3.fa.metabat2,1
CS204.bin.40.fa.metabat2,1
CS204.bin.44.fa.metabat2,1
CS204.bin.46.fa.metabat2,1
CS204.bin.4.fa.metabat2,1
CS204.bin.50.fa.maxbin2,1
CS204.bin.50.fa.metabat2,1
CS204.bin.51.fa.metabat2,1
CS204.bin.58.fa.maxbin2,1
CS204.bin.67.fa.metabat2,1
CS204.bin.68.fa.metabat2,1
CS204.bin.72.fa.metabat2,1
CS204.bin.81.fa.metabat2,1
CS204.bin.85.fa.maxbin2,1
CS204.bin.87.fa.metabat2,1
CS204.bin.97.fa.metabat2,1
CS204.bin.98.fa.metabat2,1
CS204.bin.99.fa.maxbin2,1
CS204.bin.99.fa.metabat2,1
CS204.cluster.DBSCAN.round1.2,1
CS204.cluster.DBSCAN.round3.1,1
CS204.cluster.DBSCAN.round4.5,1
CS204.cluster.DBSCAN.round4788.120,1
CS204.cluster.DBSCAN.round4790.35,1
CS204.cluster.DBSCAN.round4790.44,1
CS204.cluster.DBSCAN.round4791.0,1
CS204.cluster.DBSCAN.round4791.8,1
CS204.cluster.DBSCAN.round4.8,1
CS211.bin.100.fa.metabat2,1
CS211.bin.105.fa.metabat2,1
CS211.bin.14.fa.metabat2,1
CS211.bin.16.fa.metabat2,1
CS211.bin.19.fa.maxbin2,1
CS211.bin.19.fa.metabat2,1
CS211.bin.1.fa.metabat2,1
CS211.bin.20.fa.maxbin2,1
CS211.bin.21.fa.maxbin2,1
CS211.bin.23.fa.metabat2,1
CS211.bin.24.fa.maxbin2,1
CS211.bin.2.fa.metabat2,1
CS211.bin.30.fa.metabat2,1
CS211.bin.33.fa.metabat2,1
CS211.bin.37.fa.metabat2,1
CS211.bin.4.fa.maxbin2,1
CS211.bin.50.fa.maxbin2,1
CS211.bin.52.fa.metabat2,1
CS211.bin.54.fa.metabat2,1
CS211.bin.56.fa.metabat2,1
CS211.bin.57.fa.metabat2,1
CS211.bin.58.fa.metabat2,1
CS211.bin.65.fa.metabat2,1
CS211.bin.67.fa.maxbin2,1
CS211.bin.68.fa.metabat2,1
CS211.bin.6.fa.maxbin2,1
CS211.bin.6.fa.metabat2,1
CS211.bin.70.fa.metabat2,1
CS211.bin.74.fa.metabat2,1
CS211.bin.75.fa.metabat2,1
CS211.bin.77.fa.metabat2,1
CS211.bin.81.fa.metabat2,1
CS211.bin.83.fa.metabat2,1
CS211.bin.86.fa.metabat2,1
CS211.bin.89.fa.maxbin2,1
CS211.bin.95.fa.metabat2,1
CS211.bin.97.fa.metabat2,1
CS211.cluster.DBSCAN.round102.2,1
CS211.cluster.DBSCAN.round1.0,1
CS211.cluster.DBSCAN.round1.1,1
CS211.cluster.DBSCAN.round1.7,1
CS211.cluster.DBSCAN.round44.0,1
CS211.cluster.DBSCAN.round5310.2,1
CS211.cluster.DBSCAN.round5310.3,1
CS211.cluster.DBSCAN.round5313.5933,1
CS783.bin.10.fa.metabat2,1
CS783.bin.11.fa.metabat2,1
CS783.bin.14.fa.metabat2,1
CS783.bin.1.fa.metabat2,1
CS783.bin.22.fa.metabat2,1
CS783.bin.29.fa.metabat2,1
CS783.bin.31.fa.metabat2,1
CS783.bin.32.fa.metabat2,1
CS783.bin.33.fa.maxbin2,1
CS783.bin.34.fa.metabat2,1
CS783.bin.35.fa.metabat2,1
CS783.bin.45.fa.metabat2,1
CS783.bin.47.fa.metabat2,1
CS783.bin.5.fa.metabat2,1
CS783.bin.71.fa.metabat2,1
CS783.bin.7.fa.metabat2,1
CS783.bin.9.fa.metabat2,1
CS783.cluster.DBSCAN.round1.16,1
CS783.cluster.DBSCAN.round1.21,1
CS783.cluster.DBSCAN.round1.6,1
CS783.cluster.DBSCAN.round1.9,1
CS783.cluster.DBSCAN.round3529.3,1
CS783.cluster.DBSCAN.round3530.5,1
CS783.cluster.DBSCAN.round70.4,1
MHpat150.bin.0.fa.maxbin2,1
MHpat150.bin.10.fa.metabat2,1
MHpat150.bin.14.fa.maxbin2,1
MHpat150.bin.15.fa.maxbin2,1
MHpat150.bin.16.fa.metabat2,1
MHpat150.bin.18.fa.metabat2,1
MHpat150.bin.24.fa.maxbin2,1
MHpat150.bin.29.fa.maxbin2,1
MHpat150.bin.30.fa.metabat2,1
MHpat150.bin.7.fa.metabat2,1
MHpat150.cluster.DBSCAN.round1.11,1
MHpat150.cluster.DBSCAN.round2.3,1
MHpat150.cluster.DBSCAN.round3.1,1
MHpat150.cluster.DBSCAN.round3.7,1
MHpat150.cluster.DBSCAN.round4.2,1
MHpat150.cluster.DBSCAN.round4.4,1
MHs1.bin.2.fa.maxbin2,1
MHs1.cluster.DBSCAN.round1.1,1
MHs1.cluster.DBSCAN.round2.42,1
MHs2.bin.41.fa.metabat2,1
MHs2.cluster.DBSCAN.round1.2,1
MHs3.bin.12.fa.maxbin2,1
MHs3.bin.3.fa.metabat2,1
MHs3.bin.4.fa.maxbin2,1
MHs3.cluster.DBSCAN.round2.8,1
MHs3.cluster.DBSCAN.round39.0,1
MHs5.bin.2.fa.metabat2,1
Petrosia.bin.0.fa.maxbin2,1
Petrosia.bin.10.fa.maxbin2,1
Petrosia.bin.11.fa.metabat2,1
Petrosia.bin.16.fa.metabat2,1
Petrosia.bin.22.fa.metabat2,1
Petrosia.bin.23.fa.metabat2,1
Petrosia.bin.24.fa.metabat2,1
Petrosia.bin.27.fa.metabat2,1
Petrosia.bin.28.fa.metabat2,1
Petrosia.bin.29.fa.maxbin2,1
Petrosia.bin.2.fa.metabat2,1
Petrosia.bin.30.fa.metabat2,1
Petrosia.bin.39.fa.metabat2,1
Petrosia.bin.41.fa.metabat2,1
Petrosia.bin.43.fa.metabat2,1
Petrosia.bin.44.fa.metabat2,1
Petrosia.bin.47.fa.metabat2,1
Petrosia.bin.48.fa.metabat2,1
Petrosia.bin.49.fa.metabat2,1
Petrosia.bin.4.fa.maxbin2,1
Petrosia.bin.51.fa.metabat2,1
Petrosia.bin.52.fa.metabat2,1
Petrosia.bin.54.fa.metabat2,1
Petrosia.bin.58.fa.metabat2,1
Petrosia.bin.59.fa.metabat2,1
Petrosia.bin.62.fa.metabat2,1
Petrosia.bin.63.fa.metabat2,1
Petrosia.bin.67.fa.metabat2,1
Petrosia.bin.6.fa.metabat2,1
Petrosia.bin.73.fa.metabat2,1
Petrosia.bin.75.fa.metabat2,1
Petrosia.bin.76.fa.metabat2,1
Petrosia.bin.79.fa.metabat2,1
Petrosia.bin.81.fa.metabat2,1
Petrosia.bin.83.fa.metabat2,1
Petrosia.bin.9.fa.metabat2,1
Petrosia.cluster.DBSCAN.round12.1,1
Petrosia.cluster.DBSCAN.round1.5,1
Petrosia.cluster.DBSCAN.round2.1,1
Petrosia.cluster.DBSCAN.round2.2,1
Petrosia.cluster.DBSCAN.round3.13,1
Petrosia.cluster.DBSCAN.round3784.3,1
Petrosia.cluster.DBSCAN.round3788.717,1
Petrosia.cluster.DBSCAN.round3946.61,1
Sarcotragus.bin.10.fa.metabat2,1
Sarcotragus.bin.21.fa.metabat2,1
Sarcotragus.bin.26.fa.metabat2,1
Sarcotragus.bin.27.fa.metabat2,1
Sarcotragus.bin.2.fa.maxbin2,1
Sarcotragus.bin.30.fa.metabat2,1
Sarcotragus.bin.31.fa.metabat2,1
Sarcotragus.bin.37.fa.metabat2,1
Sarcotragus.bin.40.fa.metabat2,1
Sarcotragus.bin.41.fa.metabat2,1
Sarcotragus.bin.42.fa.metabat2,1
Sarcotragus.bin.44.fa.metabat2,1
Sarcotragus.bin.48.fa.metabat2,1
Sarcotragus.bin.4.fa.maxbin2,1
Sarcotragus.bin.4.fa.metabat2,1
Sarcotragus.bin.50.fa.maxbin2,1
Sarcotragus.bin.51.fa.metabat2,1
Sarcotragus.bin.52.fa.metabat2,1
Sarcotragus.bin.55.fa.metabat2,1
Sarcotragus.bin.56.fa.metabat2,1
Sarcotragus.bin.57.fa.metabat2,1
Sarcotragus.bin.6.fa.metabat2,1
Sarcotragus.bin.7.fa.maxbin2,1
Sarcotragus.cluster.DBSCAN.round1.2,1
Sarcotragus.cluster.DBSCAN.round2082.37,1
Sarcotragus.cluster.DBSCAN.round2.5,1
Sarcotragus.cluster.DBSCAN.round3.6,1
Sarcotragus.cluster.DBSCAN.round3.8,1
Sarcotragus.cluster.DBSCAN.round4.19,1
Sarcotragus.cluster.DBSCAN.round4.1,1
Sarcotragus.cluster.DBSCAN.round4.6,1
Sarcotragus.cluster.DBSCAN.round5.4,1
Sarcotragus.cluster.DBSCAN.round6.16,1
Sarcotragus.cluster.DBSCAN.round6.6,1
